environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,epsilon,q_learning_loss,mean_q_value
575000,2933.1625220775604,196.03414247869233,-20.433333333333334,0.5587684871413404,0.5275,0.000446569814812392,-0.3494349420070648
600000,3086.1445410251617,194.41733588248772,-20.866666666666667,0.339934634239519,0.5049999999999999,0.0004672858922276646,-0.21499387919902802
625000,3244.5360791683197,192.6315456969784,-20.633333333333333,0.48189440982669873,0.48250000000000004,0.004231479484587908,-0.2855212390422821
650000,3394.7645440101624,191.47130570928383,-20.866666666666667,0.339934634239519,0.45999999999999996,0.00015485195035580546,-0.12266282737255096
675000,3551.189423084259,190.07715995435768,-20.3,1.004987562112089,0.4375,0.00025945244124159217,-0.29223498702049255
700000,3720.7571918964386,188.13374909934066,-19.166666666666668,2.4776781245530843,0.4149999999999999,0.012592180632054806,-0.18113069236278534
725000,3887.892557144165,186.47634659234492,-20.0,1.1547005383792515,0.39249999999999996,0.0005581305595114827,-0.34519559144973755
750000,4100.814262151718,182.89050711755186,-17.866666666666667,1.2840906856172152,0.37,0.0012932770187035203,-0.12855300307273865
775000,4320.63364815712,179.37183827894813,-14.6,2.0591260281974,0.34750000000000003,0.0006939013255760074,-0.2066081464290619
800000,4572.336030006409,174.96526824576006,-15.933333333333334,1.9821424996424675,0.32499999999999996,0.0002865152491722256,-0.3036535382270813
825000,7677.453831195831,107.45750064268266,-15.8,1.6,0.3025,0.0016602054238319397,-0.16108554601669312
850000,7922.04944896698,107.29546760286014,-14.033333333333333,2.3591429705627323,0.2799999999999999,0.0023576950188726187,-0.0679101049900055
875000,8201.406353235245,106.68901921372645,-13.666666666666666,3.058685265854523,0.25750000000000006,0.0008641830645501614,-0.23950421810150146
900000,8464.723191976547,106.32361857419934,-13.966666666666667,2.845854685132199,0.235,0.0017279339954257011,-0.25476157665252686
925000,8761.51568198204,105.57534032339758,-10.533333333333333,3.18049611783375,0.21250000000000002,0.0062019238248467445,-0.1511084884405136
950000,9048.51351904869,104.9896204498098,-11.066666666666666,3.0868898407440604,0.18999999999999995,0.0010025384835898876,-0.14289481937885284
975000,9398.884329080582,103.73571648107226,-11.266666666666667,3.2550814975289875,0.16749999999999998,0.001995236612856388,-0.2645564675331116
1000000,9714.15699005127,102.94254056466707,-14.2,2.809507667427397,0.14500000000000002,0.011283967643976212,-0.042310308665037155
1025000,10025.277218103409,102.24156177436939,-14.3,3.034798181098704,0.12250000000000005,0.0039305901154875755,-0.1728634536266327
1050000,10344.967563152313,101.49862661144421,-13.333333333333334,2.924988129130707,0.09999999999999998,0.0004587447619996965,-0.15486037731170654
1075000,10621.223214149475,101.2124477873505,-10.633333333333333,3.554183763147626,0.09999999999999998,0.002140291500836611,-0.1434837132692337
1100000,10926.214299201965,100.67530892930058,-10.733333333333333,3.4826554364290603,0.09999999999999998,0.004534187726676464,-0.006203868892043829
1125000,11263.18651008606,99.8829238060184,-12.666666666666666,2.8440972010268726,0.09999999999999998,0.0006595959421247244,-0.12740904092788696
1150000,11530.375178098679,99.73656383569052,-14.533333333333333,3.138293945583952,0.09999999999999998,0.0035561255645006895,0.011440105736255646
1175000,11831.573489189148,99.31054403486841,-14.766666666666667,2.9629189811550516,0.09999999999999998,0.0010267822071909904,-0.07396199554204941
1200000,12145.794917106628,98.79962638837024,-11.9,3.0697448319580793,0.09999999999999998,0.0012313728220760822,0.043547432869672775
1225000,12420.497174978256,98.62729185673463,-15.0,2.7688746209726918,0.09999999999999998,0.000631611910648644,0.11964669823646545
1250000,12700.551399946213,98.42092367778578,-16.033333333333335,2.401157128460267,0.09999999999999998,0.0031508489046245813,0.041605591773986816
1275000,13056.198291063309,97.65476683817539,-14.566666666666666,2.716411030917245,0.09999999999999998,0.0015476139960810542,-0.02210773527622223
1300000,13365.32208609581,97.26664210751169,-14.166666666666666,2.266911751455907,0.09999999999999998,0.0019293410005047917,-0.015709728002548218
