environment_frame,wall_clock_time_seconds,fps,eval_mean_return,eval_std_return,epsilon,q_learning_loss,mean_q_value
500000,2832.8103890419006,176.50316517263659,-20.366666666666667,0.48189440982669873,0.595,0.0009619395132176578,-0.21162089705467224
525000,3001.6124942302704,174.90598836758087,-20.133333333333333,0.339934634239519,0.5725,0.0014470971655100584,-0.19415365159511566
550000,3168.743345975876,173.57038420239846,-20.033333333333335,0.1795054935711501,0.55,0.00030007684836164117,-0.36728769540786743
575000,3338.8086171150208,172.21711872083,-20.066666666666666,0.24944382578492943,0.5275,0.0016178895020857453,-0.380979984998703
600000,3509.39506316185,170.96963698901675,-20.2,0.4000000000000001,0.5049999999999999,0.001424240879714489,-0.21262907981872559
625000,3682.8652522563934,169.70482414932488,-20.3,0.4582575694955841,0.48250000000000004,0.002242396119982004,-0.2378052920103073
650000,3853.9363911151886,168.65872553017022,-20.066666666666666,0.24944382578492943,0.45999999999999996,0.0008133645169436932,-0.21054720878601074
675000,4028.326532125473,167.563377600358,-20.0,0.0,0.4375,0.0007814082782715559,-0.47941476106643677
700000,4201.365222930908,166.61250875769076,-20.166666666666668,0.372677996249965,0.4149999999999999,0.00026648089988157153,-0.23636190593242645
725000,4375.943158149719,165.67856889310832,-20.4,0.4898979485566357,0.39249999999999996,0.00020774611039087176,-0.39586302638053894
750000,4549.213622093201,164.86365827216142,-20.633333333333333,0.48189440982669873,0.37,0.0007996020722202957,-0.4234723448753357
775000,4740.052232027054,163.50030802686166,-18.633333333333333,1.3535960336164639,0.34750000000000003,0.00033456264645792544,-0.3784477412700653
800000,4953.462165117264,161.50320183718986,-16.133333333333333,2.276449477195183,0.32499999999999996,0.00024285321705974638,-0.2636495530605316
825000,5170.401194095612,159.56208597309367,-16.433333333333334,1.430229196861662,0.3025,0.0003365282900631428,-0.3502070903778076
850000,5390.7319412231445,157.67803132392427,-15.633333333333333,2.414999424890661,0.2799999999999999,0.001171966316178441,-0.29297947883605957
875000,5622.306947231293,155.63006577411048,-15.4,1.8000000000000003,0.25750000000000006,0.009490204975008965,-0.3617181181907654
900000,5862.689625263214,153.51315821352892,-14.2,2.8448784391135824,0.235,0.004394016228616238,-0.29852330684661865
925000,6110.967751979828,151.36718725117925,-14.3,3.28785644455472,0.21250000000000002,0.0007366694044321775,-0.31492918729782104
950000,6366.805362939835,149.21140912391894,-14.666666666666666,2.560381915956203,0.18999999999999995,0.0035413848236203194,-0.250323623418808
975000,6617.793441057205,147.33007439472067,-14.233333333333333,2.789065952767859,0.16749999999999998,0.0028595738112926483,-0.24529366195201874
1000000,6868.236155033112,145.59778921798494,-14.433333333333334,3.148368184031566,0.14500000000000002,0.0023464574478566647,-0.36000871658325195
1025000,7148.045559167862,143.39584037558677,-12.6,2.858904218985542,0.12250000000000005,0.0006682061939500272,-0.19108328223228455
1050000,7412.741707086563,141.6479949646783,-13.3,2.979373535941183,0.09999999999999998,0.0004607562441378832,-0.2572275400161743
1075000,7667.215950250626,140.2073460355591,-13.566666666666666,2.940332558666716,0.09999999999999998,0.00596954207867384,-0.2549072802066803
1100000,7928.716901302338,138.7361932067404,-15.666666666666666,2.0385179801894204,0.09999999999999998,0.0020872054155915976,-0.35149121284484863
1125000,8203.294060230255,137.14003077411303,-16.333333333333332,2.070963275601209,0.09999999999999998,0.013650557957589626,-0.25639808177948
1150000,8523.73829627037,134.9173285123488,-13.733333333333333,3.5584016386886717,0.09999999999999998,0.003967764787375927,-0.33006614446640015
1175000,8817.085238218307,133.26399464833824,-16.866666666666667,1.8571184369578826,0.09999999999999998,0.0019073146395385265,-0.22870075702667236
1200000,9099.66944694519,131.8729220875946,-16.566666666666666,1.994715240050291,0.09999999999999998,0.0006523505435325205,-0.3633367419242859
1225000,9414.004539012909,130.12528248985902,-15.3,2.311565126344775,0.09999999999999998,0.0012940979795530438,-0.3241555690765381
1250000,9731.93469119072,128.443114297599,-15.066666666666666,2.0154955277107964,0.09999999999999998,0.0015158677706494927,-0.30607709288597107
1275000,10017.159769296646,127.2815877318683,-17.633333333333333,1.5162087220725542,0.09999999999999998,0.0031051135156303644,-0.19701030850410461
1300000,10320.710942983627,125.96031486412848,-15.266666666666667,1.9482185594936612,0.09999999999999998,0.0006623212248086929,-0.3190251588821411
